Site Name;Latitude;Longitude;Provinces;Territoire;Zone;Population;Population Range;Nearest Site;Distance;Distance Level;300 Sites planned
Part1_23453_NewSite_11_497_550930;-6.014299;25.672007;Lomami;Lubao;;365;0. <1K;KE_04_3096_C0;27430,7;>5km;No
Part2_23453_NewSite_18_538_900001;0.342081;24.930462;Tshopo;Opala;;2218;1. 1K~3K;PO_06_091_C0;27436,5;>5km;No
Part1_23453_NewSite_14_849_700003;-3.581464;20.234664;Mai-Ndombe;Oshwe;;777;0. <1K;UL_Bongimba_BDD;27442,8;>5km;No
Part1_23453_NewSite_7_107_350002;-4.543658;17.083362;Kwango;Kenge;;942;0. <1K;Kenge4_BDD;27451,1;>5km;No
Part2_23453_NewSite_11_227_550602;2.82091;20.784958;Sud-Ubangi;Budjala;;1292;1. 1K~3K;UL_Bosomodjebo_EQT;27451,6;>5km;No
Part2_23453_NewSite_16_829_800004;2.3843;19.763355;Sud-Ubangi;Budjala;;1827;1. 1K~3K;UL_Mosange_EQT;27458,4;>5km;No
Part2_23453_NewSite_19_711_950001;-0.737774;23.07206;Tshuapa;Ikela;;1873;1. 1K~3K;UL_Yalusaka_EQT;27462,5;>5km;No
Part2_23453_NewSite_18_465_900006;0.740027;23.888247;Tshopo;Isangi;;3128;2. 3K~5K;PO_06_107_C0;27463,7;>5km;No
Part2_23453_NewSite_14_697_700004;-3.620721;22.253341;Sankuru;Kole;;504;0. <1K;Kole_KOR;27463,9;>5km;No
Part2_23453_NewSite_2_529_100006;1.202884;19.514333;Equateur;Basankusu;;257;0. <1K;UL_Lusafa_EQT;27467,4;>5km;No
Part2_23453_NewSite_19_453_950006;0.930823;22.006596;Tshuapa;Djolu;;828;0. <1K;UL_Lingomo_EQT;27471,2;>5km;No
Part2_23453_NewSite_11_720_550006;1.941543;21.100709;Mongala;Bongandanga;;1564;1. 1K~3K;UL_Pimu_EQT;27471,6;>5km;No
Part2_23453_NewSite_2_625_100930;0.70135;18.410714;Equateur;Bolomba;;545;0. <1K;UL_Ekonda_Itipo_EQT;27484,3;>5km;No
Part1_23453_NewSite_3_458_150006;-9.519847;27.617238;Haut-Katanga;Mitwaba;;530;0. <1K;UL_Mufunga_Sampwe_HKT;27485,7;>5km;No
Part1_23453_NewSite_12_863_600001;-10.889741;24.421281;Lualaba;Mutshatsha;;515;0. <1K;UL_Mutshatsha_HLU;27486,4;>5km;No
Part2_23453_NewSite_16_268_801229;3.972468;19.20675;Sud-Ubangi;Libenge;;31;0. <1K;UL_Bokanda_EQT;27488,6;>5km;No
Part2_23453_NewSite_18_464_900733;0.684921;23.869363;Tshopo;Isangi;;350;0. <1K;PO_06_107_C0;27489,4;>5km;No
Part1_23453_NewSite_4_629_200011;-7.455771;26.333238;Haut-Lomami;Malemba-Nkulu;;160;0. <1K;KT_06_1391_C0;27491,6;>5km;No
Part1_23453_NewSite_8_954_401484;-5.999605;19.826316;Kwilu;Gungu;;82;0. <1K;UL_Pont_Loange_BDD;27491,6;>5km;No
Part1_23453_NewSite_3_748_150984;-11.706958;27.903522;Haut-Katanga;Kipushi;;412;0. <1K;UL_Kafubu_Lodge_HKT;27493,5;>5km;No
Part2_23453_NewSite_19_809_950001;-1.353447;20.631444;Tshuapa;Monkoto;;1096;1. 1K~3K;UL_Gabalo_EQT;27495,9;>5km;No
Part1_23453_NewSite_10_767_500007;-4.770537;21.027955;Kasai;Ilebo;;417;0. <1K;KO_03_663_C0;27500,0;>5km;No
Part1_23453_NewSite_8_432_402220;-4.209698;17.661544;Kwilu;Bagata;;566;0. <1K;CD3242;27510,8;>5km;No
Part2_23453_NewSite_14_616_700001;-3.124207;24.83295;Sankuru;Katako-Kombe;;1924;1. 1K~3K;UL_Shinga_KOR;27518,3;>5km;No
Part1_23453_NewSite_10_594_500003;-3.946917;21.775563;Kasai;Dekese;;1101;1. 1K~3K;UL_Bokila_Ngele_KOC;27520,4;>5km;No
Part1_23453_NewSite_7_811_350006;-6.610346;17.818144;Kwango;Kasongo-Lunda;;494;0. <1K;UL_Secteur_Kibunda_BDD;27522,3;>5km;No
Part2_23453_NewSite_16_865_800799;2.141308;18.537583;Sud-Ubangi;Kungu;;82;0. <1K;UL_Gosuma_EQT;27528,6;>5km;No
Part2_23453_NewSite_16_445_800794;3.414731;18.857874;Sud-Ubangi;Libenge;;839;0. <1K;UL_Mawiya_EQT;27530,7;>5km;No
Part2_23453_NewSite_19_676_950002;-0.443267;21.866315;Tshuapa;Bokungu;;1852;1. 1K~3K;UL_Wema_EQT;27530,9;>5km;No
Part2_23453_NewSite_18_254_900006;1.818545;22.760208;Tshopo;Yahuma;;1024;1. 1K~3K;UL_Moenge_POR;27531,8;>5km;No
Part1_23453_NewSite_1_614_51676;-5.444199;15.856826;Kongo Central;Madimba;;437;0. <1K;BC_03_3386_C0;27532,7;>5km;No
Part1_23453_NewSite_8_929_401483;-5.890777;19.070668;Kwilu;Gungu;;273;0. <1K;BD_04_863_C0;27533,1;>5km;No
Part1_23453_NewSite_12_786_600893;-10.410834;26.716693;Lualaba;Lubudi;;309;0. <1K;CD1587;27535,5;>5km;No
Part2_23453_NewSite_19_710_950680;-0.717009;23.005586;Tshuapa;Ikela;;674;0. <1K;UL_Yalusaka_EQT;27541,0;>5km;No
Part2_23453_NewSite_3_343_150001;4.332982;27.763392;Haut-Uele;Dungu;;1415;1. 1K~3K;UL_Bangadi_POR;27547,3;>5km;No
Part2_23453_NewSite_1_551_50001;4.453421;22.834894;Bas-Uele;Bondo;Nord;1302;1. 1K~3K;UL_Ndu_POR;27549,8;>5km;No
Part1_23453_NewSite_4_686_200001;-7.865038;27.799912;Haut-Lomami;Malemba-Nkulu;;669;0. <1K;KT_06_3183_C0;27553,7;>5km;No
Part2_23453_NewSite_11_468_550001;2.507544;22.811351;Mongala;Bumba;;129;0. <1K;Itimbiri_EQT;27556,7;>5km;No
Part2_23453_NewSite_2_634_100673;0.827697;19.982649;Equateur;Basankusu;;767;0. <1K;UL_Ndeke_EQT;27559,2;>5km;No
Part2_23453_NewSite_18_566_900004;0.076811;23.783892;Tshopo;Isangi;;2954;1. 1K~3K;UL_Yahisuli_POR;27559,7;>5km;No
Part2_23453_NewSite_3_901_150006;2.253627;28.225096;Haut-Uele;Wamba;;2197;1. 1K~3K;Wamba_POR;27562,1;>5km;No
Part1_23453_NewSite_12_798_600708;-10.640665;23.55557;Lualaba;Dilolo;;82;0. <1K;KT_03_1769_C0;27565,2;>5km;No
Part2_23453_NewSite_12_340_600593;-0.011656;28.672165;Nord-Kivu;Lubero;;98;0. <1K;UL_Ombole_NKV;27565,5;>5km;No
Part2_23453_NewSite_19_797_950584;-1.221061;23.561841;Tshuapa;Ikela;;247;0. <1K;Ikela_EQT;27569,7;>5km;No
Part1_23453_NewSite_10_800_500002;-5.049127;21.248091;Kasai;Mweka;;2804;1. 1K~3K;KE_04_3210_C0;27575,6;>5km;No
Part1_23453_NewSite_3_457_150005;-9.60171;27.423184;Haut-Katanga;Mitwaba;;509;0. <1K;UL_Mufunga_Sampwe_HKT;27578,4;>5km;No
Part2_23453_NewSite_11_748_550602;1.938252;22.397196;Mongala;Bongandanga;;952;0. <1K;Bumba_EQT;27578,6;>5km;No
Part2_23453_NewSite_19_513_950005;0.619466;22.701937;Tshuapa;Djolu;;2316;1. 1K~3K;UL_Djolu_EQT;27585,6;>5km;No
Part2_23453_NewSite_18_711_900870;-0.607019;25.470179;Tshopo;Ubundu;;412;0. <1K;Ubundu_POR;27586,0;>5km;No
Part2_23453_NewSite_18_372_901123;1.223826;25.548904;Tshopo;Banalia;;911;0. <1K;Mutshatsha_POR;27595,6;>5km;No
Part1_23453_NewSite_12_708_600001;-10.130499;23.508565;Lualaba;Dilolo;;1014;1. 1K~3K;CD4909;27597,9;>5km;No
Part2_23453_NewSite_14_853_700001;-4.281817;24.935044;Sankuru;Lubefu;;4513;2. 3K~5K;UL_Wenga_MAN;27599,5;>5km;No
Part2_23453_NewSite_11_466_550007;2.365758;22.665521;Mongala;Bumba;;1466;1. 1K~3K;Bumba_Lokole4_EQT;27604,0;>5km;No
Part2_23453_NewSite_19_710_950584;-0.620302;22.900457;Tshuapa;Ikela;;252;0. <1K;UL_Mondombe_Etat_EQT;27606,2;>5km;No
Part1_23453_NewSite_7_367_350005;-5.047348;17.404568;Kwango;Kenge;;875;0. <1K;Misele_BDD;27606,6;>5km;No
Part1_23453_NewSite_14_798_700003;-3.42121;16.359693;Mai-Ndombe;Kwamouth;;741;0. <1K;UL_Kemba_Secteur_BDD;27609,0;>5km;No
Part2_23453_NewSite_2_607_100005;0.941521;19.5495;Equateur;Basankusu;;190;0. <1K;UL_Lusafa_EQT;27618,3;>5km;No
Part2_23453_NewSite_13_576_650004;4.132739;22.198246;Nord-Ubangi;Yakoma;;525;0. <1K;Yakoma_EQT;27619,6;>5km;No
Part1_23453_NewSite_10_873_500731;-6.078532;19.942704;Kasai;Kamonia;;2079;1. 1K~3K;UL_Pont_Loange_BDD;27620,3;>5km;No
Part2_23453_NewSite_16_668_800798;2.85705;20.606797;Sud-Ubangi;Budjala;;129;0. <1K;UL_Bongabo_EQT;27620,7;>5km;No
Part2_23453_NewSite_13_958_650001;3.115834;21.251998;Nord-Ubangi;Businga;;2604;1. 1K~3K;UL_Busu_Madj_EQT;27630,3;>5km;No
Part1_23453_NewSite_7_104_350003;-4.516907;16.978287;Kwango;Kenge;;453;0. <1K;CD2005;27630,9;>5km;No
Part1_23453_NewSite_8_926_401476;-5.826403;18.558178;Kwilu;Masi-Manimba;;1477;1. 1K~3K;UL_Kasanza_BDD;27637,3;>5km;No
Part1_23453_NewSite_7_963_350001;-7.913595;17.468399;Kwango;Kasongo-Lunda;;3823;2. 3K~5K;Tembo_BDD;27638,1;>5km;No
Part2_23453_NewSite_19_650_950001;-0.370853;22.234709;Tshuapa;Bokungu;;1626;1. 1K~3K;Bokungu_EQT;27639,3;>5km;No
Part2_23453_NewSite_13_576_650420;4.079374;22.198166;Nord-Ubangi;Yakoma;;864;0. <1K;Yakoma_EQT;27642,5;>5km;No
Part1_23453_NewSite_14_854_700866;-3.759993;15.987349;Mai-Ndombe;Kwamouth;;1137;1. 1K~3K;UL_Ingana_KIN;27652,2;>5km;No
Part2_23453_NewSite_16_879_800795;2.212835;19.255549;Sud-Ubangi;Budjala;;139;0. <1K;UL_Ndolo_Liboko_EQT;27653,2;>5km;No
Part2_23453_NewSite_11_257_550008;2.720066;22.02918;Mongala;Bumba;;509;0. <1K;UL_Monzamboli_EQT;27653,3;>5km;No
Part2_23453_NewSite_3_800_150001;3.160104;28.954907;Haut-Uele;Watsa;;525;0. <1K;Tora_POR;27657,0;>5km;No
Part2_23453_NewSite_16_342_800795;3.793542;19.792338;Sud-Ubangi;Gemena;;113;0. <1K;UL_Bogose_EQT;27657,4;>5km;No
Part2_23453_NewSite_19_569_950004;0.217027;22.806946;Tshuapa;Djolu;;2923;1. 1K~3K;UL_Bokondo_EQT;27662,0;>5km;No
Part1_23453_NewSite_3_269_151216;-8.074339;29.167058;Haut-Katanga;Pweto;;602;0. <1K;UL_Kapulo_Pweto2_HKT;27666,0;>5km;No
Part1_23453_NewSite_7_926_350004;-7.538241;18.73262;Kwango;Kahemba;;417;0. <1K;BD_03_1527_C0;27672,2;>5km;No
Part2_23453_NewSite_19_885_950001;-1.702681;24.234022;Tshuapa;Ikela;;432;0. <1K;UL_Elingapango_KOR;27680,4;>5km;No
Part2_23453_NewSite_14_670_700867;-3.333276;24.174237;Sankuru;Katako-Kombe;;2588;1. 1K~3K;KE_04_3207_C0;27680,6;>5km;No
Part2_23453_NewSite_2_771_100003;-0.310075;18.718839;Equateur;Ingende;;1364;1. 1K~3K;Buburu_EQT;27682,3;>5km;No
Part2_23453_NewSite_1_686_50003;3.677678;25.567985;Bas-Uele;Ango;Nord;1147;1. 1K~3K;CD1920;27686,9;>5km;No
Part1_23453_NewSite_8_902_402175;-5.659684;18.078086;Kwilu;Masi-Manimba;;849;0. <1K;UL_Lobo_BDD;27689,6;>5km;No
Part1_23453_NewSite_3_748_150007;-11.723587;28.031538;Haut-Katanga;Kipushi;;715;0. <1K;UL_Kawayongo_HLU;27692,1;>5km;No
Part1_23453_NewSite_16_530_800003;-5.989324;26.238948;Tanganyka;Kabalo;;1307;1. 1K~3K;Kakuyu_BB_HLU;27696,9;>5km;No
Part2_23453_NewSite_11_445_550010;2.447006;21.85988;Mongala;Bumba;;1652;1. 1K~3K;UL_Monzamboli_EQT;27699,4;>5km;No
Part2_23453_NewSite_18_883_900001;-1.403692;25.800092;Tshopo;Ubundu;;15540;4. 10K~20K;UL_Kowe_MAN;27703,2;>5km;No
Part2_23453_NewSite_11_831_550001;1.641069;21.658083;Mongala;Bongandanga;;1312;1. 1K~3K;UL_Bosondjo_EQT;27704,6;>5km;No
Part2_23453_NewSite_19_447_950001;0.875778;20.908325;Tshuapa;Befale;;756;0. <1K;UL_Lomako_EQT;27706,4;>5km;No
Part1_23453_NewSite_16_938_801174;-8.136026;29.686617;Tanganyka;Moba;;221;0. <1K;UL_Kapulo_Pweto_HKT;27712,6;>5km;No
Part2_23453_NewSite_2_499_100004;1.120396;18.076434;Equateur;Bomongo;;628;0. <1K;Bomongo_EQT;27713,3;>5km;No
Part1_23453_NewSite_12_756_600005;-10.215969;26.791317;Lualaba;Lubudi;;77;0. <1K;UL_Bunkeya_HKT;27717,9;>5km;No
